lost_item_id,user_id,organization_id,category_id,title,description,size,date_lost,location_lat,location_lng,location_name,status,created_at
1,36,1,3,Office keys,Office keys. Seat much section investment on gun young catch management.,Large,2026-03-21,33.9989814,71.4686337,IMSciences Block A,Pending,2026-03-21 15:16:00
2,8,1,1,Bluetooth headphones,Bluetooth headphones. Check civil quite others his other life.,Medium,2026-04-10,33.9986014,71.4684484,IMSciences Cafeteria,Matched,2026-04-10 12:10:00
3,96,1,4,Slim wallet,Slim wallet. Team activity result race Mr environment political born itself law west then enjoy.,Large,2026-05-04,33.9991744,71.4684547,IMSciences Block B,Returned,2026-05-04 19:57:00
4,21,1,5,Blue backpack,Blue backpack. Medical blood personal success medical current hear claim.,Medium,2026-05-07,33.999371,71.4686719,IMSciences Sports Ground,Pending,2026-05-07 13:57:00
5,7,1,3,Office keys,Office keys. Out major born guy world southern.,Large,2026-04-09,33.9989568,71.4683315,IMSciences Main Gate,Matched,2026-04-09 21:26:00
6,81,1,6,Wool cap,Wool cap. Drive note bad rule staff within.,Small,2026-05-07,33.998645,71.46844,IMSciences Admin Office,Pending,2026-05-07 14:01:00
7,24,1,6,Cardigan,Cardigan. Campaign little near enter their institution deep.,Medium,2026-05-08,33.999138,71.468654,IMSciences Lab 2,Pending,2026-05-08 10:50:00
8,91,1,1,Bluetooth headphones,Bluetooth headphones. Require human public health tonight later easy ask.,Small,2026-03-19,33.9987683,71.4681998,IMSciences Admin Office,Returned,2026-03-19 13:19:00
9,31,1,2,Student ID card,Student ID card. Network open according remain arrive attack all form method everything magazine much rich.,Large,2026-05-11,33.9988494,71.4683014,IMSciences Main Gate,Pending,2026-05-11 20:17:00
10,46,1,6,Sweater,Sweater. Line six space couple best issue interest level rock pull worker better I.,Large,2026-04-18,33.9987945,71.4684957,IMSciences Admin Office,Pending,2026-04-18 12:11:00
11,76,1,3,House keys,House keys. Eat couple large instead everything economic type.,Small,2026-04-29,33.9993238,71.4687914,IMSciences Sports Ground,Pending,2026-04-29 17:32:00
12,16,1,4,Slim wallet,Slim wallet. Better present music address behavior send door image loss ten total clearly able.,Small,2026-04-23,33.9987178,71.4683744,IMSciences Parking Area,Pending,2026-04-23 20:34:00
13,89,1,6,Pair of gloves,Pair of gloves. Unit size expect recent room situation product main couple.,Medium,2026-04-07,33.998978,71.4686757,IMSciences Block B,Pending,2026-04-07 13:42:00
14,17,1,6,Hoodie sweatshirt,Hoodie sweatshirt. Often my security arm once me.,Large,2026-05-07,33.9989668,71.4683305,IMSciences Parking Area,Matched,2026-05-07 16:08:00
15,26,1,4,Travel wallet,Travel wallet. Arm meet surface attention attack technology identify walk.,Medium,2026-05-11,33.9989493,71.4683196,IMSciences Mosque,Matched,2026-05-11 14:35:00
16,2,1,3,Locker keys,Locker keys. Often always bank price north first end prove fire.,Small,2026-04-11,33.9992643,71.4686527,IMSciences Block B,Pending,2026-04-11 15:28:00
17,88,1,2,CNIC card,CNIC card. Capital population lead upon very act perform none beyond Mrs media.,Medium,2026-03-29,33.9992305,71.4686784,IMSciences Lab 2,Pending,2026-03-29 09:18:00
18,67,1,6,Cardigan,Cardigan. Thing these hard citizen street region particularly would pressure account.,Small,2026-05-09,33.9989608,71.4682139,IMSciences Admin Office,Pending,2026-05-09 20:12:00
19,20,1,1,iPhone 13 black,iPhone 13 black. Use billion there enough threat score choice example decision.,Small,2026-04-19,33.9992445,71.4687374,IMSciences Block C,Pending,2026-04-19 22:40:00
20,75,1,2,Result card,Result card. Reach table measure economy traditional anything plant stop.,Medium,2026-03-21,33.9990476,71.4686724,IMSciences Block B,Pending,2026-03-21 20:55:00
21,100,1,1,Bluetooth headphones,Bluetooth headphones. Four capital woman claim kind relationship.,Small,2026-05-10,33.9991216,71.4685984,IMSciences Library 2nd Floor,Pending,2026-05-10 16:15:00
22,17,1,4,Brown wallet,Brown wallet. Born war real chance along hard.,Medium,2026-05-09,33.9988625,71.4684736,IMSciences Mosque,Pending,2026-05-09 20:57:00
23,58,1,5,Lunch bag,Lunch bag. Involve among half value win always group.,Large,2026-04-10,33.9993589,71.4687275,IMSciences Block C,Pending,2026-04-10 12:48:00
24,33,1,7,Textbook (Calculus),Textbook (Calculus). Government nice themselves wind see understand door.,Large,2026-04-01,33.9992507,71.4685398,IMSciences Block C,Pending,2026-04-01 12:15:00
25,36,1,3,Hostel room keys,Hostel room keys. Thing agent say forward us soon ten specific.,Large,2026-04-11,33.9988053,71.4683925,IMSciences Library 1st Floor,Matched,2026-04-11 19:13:00
26,10,1,4,Cash purse,Cash purse. Skin blue the teach develop staff least figure.,Medium,2026-04-08,33.9987364,71.4681249,IMSciences Auditorium,Returned,2026-04-08 14:57:00
27,100,1,5,Blue backpack,Blue backpack. Age cover foreign ten whom evidence political hundred.,Large,2026-05-08,33.9991408,71.4687871,IMSciences Block B,Pending,2026-05-08 14:54:00
28,55,1,5,Tote bag,Tote bag. Voice boy wife condition while enter board its rock finish.,Medium,2026-05-14,33.9987992,71.4683843,IMSciences Main Gate,Pending,2026-05-14 18:43:00
29,53,1,6,Wool cap,Wool cap. Break tonight couple and job mind southern rather vote say culture issue.,Medium,2026-04-18,33.9986511,71.4684089,IMSciences Reception,Pending,2026-04-18 14:37:00
30,74,1,6,Black jacket,Black jacket. Finish summer rest feel finally impact I fast camera inside wait quality total.,Small,2026-05-11,33.9988214,71.4685967,IMSciences Mosque,Pending,2026-05-11 12:24:00
31,43,1,2,Birth certificate copy,Birth certificate copy. Image street fight decision size parent focus kid put.,Medium,2026-05-05,33.9992045,71.4685317,IMSciences Block A,Matched,2026-05-05 21:26:00
32,34,1,7,Lunch box,Lunch box. Soldier where save probably exist professional people behavior weight dog financial southern.,Medium,2026-03-31,33.9988996,71.4681608,IMSciences Cafeteria,Closed,2026-03-31 11:41:00
33,10,1,7,Water bottle,Water bottle. Animal worker particularly shoulder lay though.,Small,2026-05-11,33.9987697,71.4681982,IMSciences Main Gate,Pending,2026-05-11 10:30:00
34,87,1,1,Tablet device,Tablet device. Responsibility himself hundred challenge reach throughout team those.,Small,2026-04-27,33.9992798,71.4687368,IMSciences Block C,Pending,2026-04-27 17:47:00
35,93,1,1,Lenovo laptop,Lenovo laptop. Compare when military anyone eat summer lead soon.,Medium,2026-05-07,33.9989815,71.4686716,IMSciences Library 1st Floor,Matched,2026-05-07 22:24:00
36,52,1,6,Pair of gloves,Pair of gloves. Other wear through partner rest measure store natural today season listen else easy.,Small,2026-04-12,33.9994262,71.4687509,IMSciences Sports Ground,Pending,2026-04-12 20:19:00
37,89,1,5,Black laptop bag,Black laptop bag. Machine dream key require doctor from throw ball character him check degree.,Large,2026-04-26,33.9988864,71.4685731,IMSciences Lab 2,Matched,2026-04-26 09:32:00
38,84,1,3,House keys,House keys. Former letter artist strategy hope show watch affect thing offer local.,Medium,2026-04-20,33.9987761,71.4682934,IMSciences Admin Office,Pending,2026-04-20 22:53:00
39,60,1,6,Wool cap,Wool cap. Send table well industry section national owner determine detail.,Medium,2026-04-28,33.9990935,71.4687062,IMSciences Library 2nd Floor,Pending,2026-04-28 20:58:00
40,70,1,7,Wristband,Wristband. Ahead from quickly identify close level camera performance agree hour north agree.,Medium,2026-04-27,33.9992803,71.468647,IMSciences Block B,Pending,2026-04-27 11:53:00
41,13,1,3,Cabinet keys,Cabinet keys. Term consider employee force lawyer front they.,Small,2026-04-13,33.9990559,71.4686041,IMSciences Lab 2,Pending,2026-04-13 08:31:00
42,43,1,2,Birth certificate copy,Birth certificate copy. Edge bank affect much yourself glass practice sit prepare senior wear.,Small,2026-04-05,33.9992191,71.4685161,IMSciences Block A,Returned,2026-04-05 19:56:00
43,37,1,5,Blue backpack,Blue backpack. Perform draw list boy way let.,Large,2026-04-10,33.9987242,71.468478,IMSciences Main Gate,Pending,2026-04-10 20:15:00
44,90,1,4,Travel wallet,Travel wallet. Cold parent security boy standard who blue agent find quality.,Large,2026-04-22,33.9991793,71.4684369,IMSciences Block C,Pending,2026-04-22 14:44:00
45,33,1,3,Hostel room keys,Hostel room keys. Walk cup option store drug recent feeling range south someone not.,Medium,2026-03-20,33.9987624,71.4682702,IMSciences Auditorium,Matched,2026-03-20 13:22:00
46,91,1,4,Card holder,Card holder. Mouth product attention positive actually information majority item gun through.,Medium,2026-04-30,33.9987922,71.4684885,IMSciences Parking Area,Pending,2026-04-30 19:34:00
47,99,1,6,Wool cap,Wool cap. Itself safe whole establish space Mrs low.,Small,2026-04-28,33.9989854,71.4683006,IMSciences Main Gate,Matched,2026-04-28 20:33:00
48,78,1,3,Honda car keys,Honda car keys. Environmental system store beautiful think during let particular her agreement surface consider deep.,Small,2026-04-11,33.998791,71.4682718,IMSciences Parking Area,Pending,2026-04-11 16:08:00
49,37,1,1,iPhone 13 black,iPhone 13 black. Evidence other they new might course drop image new drive.,Large,2026-05-02,33.998979,71.4682505,IMSciences Parking Area,Returned,2026-05-02 15:06:00
50,3,1,5,Sling bag,Sling bag. Large admit family identify during professional hard network gas you nearly goal.,Medium,2026-04-30,33.9991762,71.4685037,IMSciences Block C,Pending,2026-04-30 21:30:00
51,16,1,7,Lunch box,Lunch box. Fill discover return firm sea week real course school.,Medium,2026-04-12,33.9990296,71.4686818,IMSciences Block C,Pending,2026-04-12 10:51:00
52,74,1,3,Honda car keys,Honda car keys. With modern executive beyond create dinner conference add move ever window network recently.,Small,2026-03-29,33.9989732,71.4684665,IMSciences Library 1st Floor,Matched,2026-03-29 17:14:00
53,68,1,4,Cash purse,Cash purse. Bill activity expect long future whole education technology box assume man officer.,Medium,2026-03-22,33.9990441,71.468596,IMSciences Parking Area,Pending,2026-03-22 17:03:00
54,80,1,6,Red scarf,Red scarf. Chance none fight yes budget share paper.,Small,2026-04-07,33.9987344,71.4685142,IMSciences Mosque,Pending,2026-04-07 10:35:00
55,11,1,2,Student ID card,Student ID card. Herself training father open investment notice art whether between several personal enough.,Medium,2026-03-24,33.9992757,71.468618,IMSciences Block C,Pending,2026-03-24 12:45:00
56,38,1,6,Shawl,Shawl. Dream necessary choose impact ready like allow explain.,Small,2026-04-13,33.9987434,71.4683558,IMSciences Mosque,Matched,2026-04-13 17:42:00
57,27,1,4,Black leather wallet,Black leather wallet. Author do enough social operation sound cup boy different chance enter.,Large,2026-03-30,33.9989491,71.4685534,IMSciences Main Gate,Returned,2026-03-30 09:03:00
58,23,1,7,Textbook (Calculus),Textbook (Calculus). Arrive society organization station TV keep.,Large,2026-05-01,33.9991797,71.4687185,IMSciences Lab 1,Pending,2026-05-01 15:44:00
59,40,1,6,Sweater,Sweater. Record wall matter management ball always it focus economy.,Medium,2026-03-25,33.998766,71.4682751,IMSciences Auditorium,Matched,2026-03-25 22:27:00
60,96,1,3,Locker keys,Locker keys. While structure offer week yourself public especially American.,Small,2026-04-03,33.9988416,71.4685697,IMSciences Library 1st Floor,Returned,2026-04-03 17:01:00
61,99,1,6,Hoodie sweatshirt,Hoodie sweatshirt. Million kind everything young job sport why like impact fly bit claim.,Large,2026-04-25,33.9989052,71.4682101,IMSciences Cafeteria,Pending,2026-04-25 15:58:00
62,37,1,2,Class registration form,Class registration form. Explain war spend nearly lawyer fire follow wife identify method write price.,Medium,2026-05-08,33.9989757,71.4686376,IMSciences Mosque,Pending,2026-05-08 14:21:00
63,43,1,6,Red scarf,Red scarf. Including could gun series personal service data near until just recognize.,Small,2026-03-28,33.9990647,71.4685782,IMSciences Block A,Matched,2026-03-28 14:52:00
64,99,1,5,Blue backpack,Blue backpack. Win participant dream citizen nearly need.,Medium,2026-03-26,33.9988758,71.4684293,IMSciences Library 1st Floor,Closed,2026-03-26 14:55:00
65,67,1,7,Water bottle,Water bottle. Yeah tree left brother strategy marriage respond meeting.,Large,2026-04-12,33.998797,71.4682853,IMSciences Admin Office,Pending,2026-04-12 13:39:00
66,98,1,4,Travel wallet,Travel wallet. Strong woman during necessary himself two meet these tell everybody so.,Medium,2026-04-26,33.9988906,71.4684668,IMSciences Lab 2,Pending,2026-04-26 12:28:00
67,91,1,4,Black leather wallet,Black leather wallet. Various meet star executive fear only your majority chance Mrs.,Small,2026-04-19,33.9988935,71.4683457,IMSciences Mosque,Pending,2026-04-19 16:00:00
68,72,1,4,Black leather wallet,Black leather wallet. Necessary myself lay focus country recently occur do simply analysis.,Small,2026-05-01,33.9989452,71.4683046,IMSciences Admin Office,Pending,2026-05-01 21:09:00
69,65,1,6,Hoodie sweatshirt,Hoodie sweatshirt. History professional star wonder manager already maybe opportunity thank them.,Large,2026-04-28,33.9989594,71.4686839,IMSciences Lab 1,Closed,2026-04-28 11:29:00
70,72,1,2,Result card,Result card. Moment lead reveal improve pressure child light.,Small,2026-04-11,33.9988398,71.4684585,IMSciences Reception,Pending,2026-04-11 09:17:00
71,100,1,7,Glasses case,Glasses case. Perhaps however bag forget purpose move west phone thought maintain.,Medium,2026-05-08,33.9989151,71.4682669,IMSciences Reception,Pending,2026-05-08 19:19:00
72,77,1,5,Pencil case,Pencil case. Pay doctor range explain dinner bed.,Small,2026-03-26,33.9992154,71.468568,IMSciences Block C,Matched,2026-03-26 16:24:00
73,60,1,3,Office keys,Office keys. Kitchen really tough animal someone fall hear.,Large,2026-03-31,33.9989187,71.4682834,IMSciences Main Gate,Matched,2026-03-31 08:20:00
74,97,1,4,Travel wallet,Travel wallet. Most not society color bad that people drive tree.,Medium,2026-03-30,33.9993454,71.468727,IMSciences Block B,Matched,2026-03-30 10:31:00
75,6,1,2,CNIC card,CNIC card. Leave effect effort act source top quality citizen.,Large,2026-04-28,33.9992479,71.4687297,IMSciences Block A,Pending,2026-04-28 16:58:00
76,60,1,1,Lenovo laptop,Lenovo laptop. Write federal while real lead few yourself table blood high.,Medium,2026-04-20,33.9988419,71.4681817,IMSciences Admin Office,Pending,2026-04-20 12:21:00
77,81,1,6,Sweater,Sweater. Fast recognize against stop how account ten sing wind treat seat strategy total.,Large,2026-04-08,33.9990907,71.4686409,IMSciences Library 1st Floor,Returned,2026-04-08 14:20:00
78,82,1,6,Shawl,Shawl. Soon despite couple economy sense should race carry best physical always small almost.,Large,2026-04-21,33.998847,71.4682339,IMSciences Cafeteria,Matched,2026-04-21 12:14:00
79,97,1,1,Bluetooth headphones,Bluetooth headphones. Bed far section compare car much will.,Small,2026-05-07,33.9991235,71.468709,IMSciences Lab 2,Pending,2026-05-07 19:19:00
80,5,1,1,Power bank,Power bank. Tree store either station loss southern second full boy while cell whom.,Small,2026-04-24,33.9988434,71.4683723,IMSciences Parking Area,Pending,2026-04-24 14:36:00
81,89,1,7,Umbrella,Umbrella. Hand so add Mr lawyer pull public once state wait board doctor agent.,Small,2026-05-10,33.9988316,71.4686683,IMSciences Library 2nd Floor,Matched,2026-05-10 11:31:00
82,76,1,2,Library card,Library card. Trip determine as statement travel few impact cause watch fight.,Medium,2026-05-03,33.9987516,71.4683521,IMSciences Mosque,Pending,2026-05-03 20:29:00
83,38,1,6,Wool cap,Wool cap. Best thought career law provide sea watch.,Small,2026-04-26,33.9993781,71.4688251,IMSciences Block C,Pending,2026-04-26 14:44:00
84,34,1,4,Coin pouch,Coin pouch. Score choice increase between majority impact week allow have kitchen wear talk between.,Medium,2026-04-21,33.9990897,71.4685313,IMSciences Main Gate,Pending,2026-04-21 14:36:00
85,47,1,5,Sling bag,Sling bag. Top population art every why we station begin deep police wife anything.,Large,2026-04-18,33.9987088,71.468532,IMSciences Parking Area,Pending,2026-04-18 08:36:00
86,89,1,7,Water bottle,Water bottle. Writer skin day stop never only spend do similar.,Large,2026-05-13,33.9990487,71.4687117,IMSciences Lab 1,Pending,2026-05-13 20:14:00
87,79,1,7,Pen set,Pen set. Everyone worker would music sometimes body.,Small,2026-03-19,33.9987261,71.4683503,IMSciences Mosque,Matched,2026-03-19 20:42:00
88,89,1,7,Umbrella,Umbrella. Address so draw food company appear score.,Large,2026-05-07,33.9991114,71.4685585,IMSciences Library 1st Floor,Pending,2026-05-07 15:02:00
89,76,1,3,Suzuki bike keys,Suzuki bike keys. Second live sing message board mean war.,Small,2026-03-21,33.998718,71.468459,IMSciences Reception,Pending,2026-03-21 10:50:00
90,71,1,3,Locker keys,Locker keys. Feeling poor all your suggest international blue Republican kitchen tonight focus chance.,Small,2026-03-29,33.9990656,71.4685777,IMSciences Parking Area,Closed,2026-03-29 12:47:00
91,45,1,7,Lunch box,Lunch box. Person one Republican herself our far measure involve soldier.,Medium,2026-03-28,33.9988063,71.4686866,IMSciences Library 1st Floor,Returned,2026-03-28 19:43:00
92,52,1,7,Pen set,Pen set. Result Democrat later direction fund law indeed believe interview professor hear check type.,Small,2026-03-23,33.9990278,71.4684658,IMSciences Lab 2,Pending,2026-03-23 13:43:00
93,97,1,6,Hoodie sweatshirt,Hoodie sweatshirt. Story behavior benefit school speech news only.,Large,2026-05-10,33.999279,71.4687861,IMSciences Block B,Pending,2026-05-10 11:30:00
94,5,1,5,Travel suitcase,Travel suitcase. Form business government program seek test return why outside goal official defense prevent.,Large,2026-04-07,33.9989491,71.4684442,IMSciences Main Gate,Pending,2026-04-07 19:19:00
95,85,1,4,Black leather wallet,Black leather wallet. Glass news boy everything difficult investment night.,Small,2026-05-10,33.9989785,71.4682617,IMSciences Cafeteria,Pending,2026-05-10 09:15:00
96,70,1,2,Result card,Result card. Participant price really ahead event several.,Medium,2026-04-18,33.9991682,71.4686773,IMSciences Block A,Returned,2026-04-18 14:37:00
97,97,1,6,Wool cap,Wool cap. Accept thank not husband center plan air second Democrat information.,Medium,2026-04-19,33.9986896,71.4684457,IMSciences Mosque,Pending,2026-04-19 12:02:00
98,90,1,3,Office keys,Office keys. Have return since nothing be apply church pay.,Medium,2026-03-24,33.9993802,71.4687722,IMSciences Block C,Pending,2026-03-24 18:23:00
99,71,1,6,Cardigan,Cardigan. Kitchen interest parent increase democratic mention generation book question.,Small,2026-05-13,33.9990604,71.4687973,IMSciences Block B,Returned,2026-05-13 21:29:00
100,13,1,6,Pair of gloves,Pair of gloves. Money final determine worker area daughter war should share face build market.,Large,2026-04-27,33.9988889,71.4682585,IMSciences Mosque,Matched,2026-04-27 11:08:00
